employee_id,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months
EMP100000,Rendra Pratama,806137,1,4,1,6,3,3,2,3,1,64
EMP100001,Wulan Setiawan,476388,4,4,4,5,5,3,1,1,2,16
EMP100002,Julia Jatmiko Situmorang,941921,1,3,5,1,1,3,1,3,1,58
EMP100003,Oka Halim,751615,1,3,4,2,1,1,2,2,5,15
EMP100004,Dwi Pratama,443809,3,4,6,5,3,3,1,1,5,34
EMP100005,Bayu Zulfikar,590302,1,1,5,2,3,1,1,3,1,66
EMP100006,Indra Santoso,826406,1,3,3,2,1,2,1,1,4,82
EMP100007,Rani Mahendra,878510,4,3,4,3,2,2,3,2,1,56
EMP100008,Gita Permadi,189647,2,4,3,1,5,1,1,4,1,40
EMP100009,Julia Anggara,931718,1,2,5,6,4,1,3,3,2,77
EMP100010,Maya Jatmiko Handayani,967930,2,3,4,3,2,2,3,1,4,29
EMP100011,Fajar Halim,617452,4,1,3,5,2,3,3,2,1,51
EMP100012,Rendra Tri Purnama,457211,1,2,2,3,2,1,2,4,6,3
EMP100013,Maya Mahendra,656829,4,4,6,2,1,2,3,1,4,3
EMP100014,Wahyu Indrawan,503585,3,3,6,1,3,1,2,4,2,65
EMP100015,Zahra Utama Setiawan,155133,4,2,3,4,5,2,3,2,1,28
EMP100016,Dinda Pramudita Ginting,658786,1,4,6,6,5,2,2,1,3,39
EMP100017,Fajar Mahendra,583676,2,1,4,3,1,2,3,2,2,95
EMP100018,Arif Ginting,588205,4,3,5,3,5,3,2,1,6,53
EMP100019,Rizki Iqbal Gunawan,341900,3,4,4,2,1,2,1,3,6,27
EMP100020,Yoga Erlangga Hartanto,850478,1,3,1,6,4,1,2,4,5,31
EMP100021,Oka Candra Kurniawan,828497,3,3,1,4,3,2,3,2,6,81
EMP100022,Oka Nugroho,674733,2,1,2,3,1,2,2,3,3,53
EMP100023,Adit Kurniawan,555024,4,2,3,2,1,2,2,4,1,49
EMP100024,Rendra Candra Maulida,884289,2,1,5,3,2,2,2,3,4,44
EMP100025,Rizky Dharma Purnama,786831,1,3,1,2,5,3,3,2,2,20
EMP100026,Wulan Yudhistira Tamba,926498,4,1,4,2,5,2,2,4,3,65
EMP100027,Oka Rohman,176075,3,3,2,1,5,1,3,3,2,132
EMP100028,Nadia Saputra,373327,3,1,3,3,4,1,2,4,5,22
EMP100029,Satya Adi Hasibuan,491714,3,3,5,6,5,1,1,1,5,32
EMP100030,Rizky Anugrah Permadi,276288,3,1,5,3,4,2,3,3,4,56
EMP100031,Julia Nabila Kurniawan,379652,4,4,3,2,4,3,2,4,2,34
EMP100032,Galih Mahardika Purnama,980623,2,1,3,6,3,3,1,4,2,34
EMP100033,Ahmad Simanjuntak,846300,2,2,5,3,1,3,2,4,3,37
EMP100034,Ari Adi Ginting,510070,1,4,6,5,5,2,1,4,1,86
EMP100035,Oka Tamba,243414,3,4,1,5,4,3,3,2,4,57
EMP100036,Ayunda Utama Lestari,515963,2,1,1,6,4,3,3,2,3,54
EMP100037,Nabila Ramadhan,967856,1,1,6,4,2,1,2,2,6,52
EMP100038,Bella Tri Setiawan,446315,3,3,6,5,3,2,3,4,2,50
EMP100039,Budi Adi Permadi,476249,2,2,4,3,2,2,1,3,4,65
EMP100040,Rifqi Putra,751135,3,1,4,2,2,3,2,4,2,81
EMP100041,Lestari Maulana,135400,4,2,3,6,2,1,1,2,4,99
EMP100042,Oka Lukman,191210,3,3,6,2,4,2,1,4,3,28
EMP100043,Nugroho Indrawan,123837,2,2,3,4,2,2,1,1,3,40
EMP100044,Indra Maulida,742065,4,4,5,3,1,2,1,2,6,8
EMP100045,Dimas Mahendra,581488,2,3,2,3,4,1,3,1,5,38
EMP100046,Fitri Lestari,117913,3,4,1,4,3,1,2,2,6,64
EMP100047,Hadi Pradana,161695,3,2,2,2,5,1,1,3,5,58
EMP100048,Adit Halim,557326,3,4,4,5,4,3,1,4,6,50
EMP100049,Rizki Halim Siregar,453636,1,4,5,1,1,1,3,4,6,35
EMP100050,Joko Ridwan,411437,4,3,4,3,5,3,1,2,2,69
EMP100051,Ari Mahardika Nugroho,286318,4,4,5,1,4,3,1,3,5,98
EMP100052,Sari Yudhistira Mahendra,740192,1,4,4,2,1,2,3,3,3,23
EMP100053,Anisa Pamungkas,770602,1,3,1,3,3,1,3,3,5,52
EMP100054,Nugroho Maulida,239182,2,4,4,3,5,1,1,2,3,22
EMP100055,Putri Nugroho,153339,1,2,6,1,4,1,2,4,5,42
EMP100056,Ayunda Ramadhan,401856,4,4,1,4,3,2,1,3,3,96
EMP100057,Nurlita Kusuma,285929,3,2,6,2,4,3,3,1,4,60
EMP100058,Adit Anugrah Halim,827158,3,3,2,4,1,2,3,2,4,66
EMP100059,Fajar Dharma Subekti,404880,2,3,3,2,4,1,3,4,6,75
EMP100060,Wulan Maulida,302930,1,4,3,4,1,3,2,2,2,44
EMP100061,Oktavia Anugrah Setiawan,275683,4,3,6,4,1,1,3,1,5,46
EMP100062,Valdo Jatmiko Mahendra,249908,3,3,4,6,3,2,2,3,2,40
EMP100063,Ayu Lestari Pradana,461165,2,1,1,4,2,1,1,3,5,42
EMP100064,Kurnia Purnama,551120,1,2,6,5,4,3,3,1,6,38
EMP100065,Rani Saputra,240200,1,4,1,1,4,2,2,1,4,24
EMP100066,Tania Lestari Setiawan,378824,1,4,3,1,2,1,1,1,1,65
EMP100067,Indra Zulfikar,696462,1,3,3,1,2,1,3,1,1,89
EMP100068,Nabila Qolbi Suharto,671201,4,1,3,2,5,2,1,4,1,68
EMP100069,Anisa Permadi,252350,1,3,4,2,4,3,1,2,2,61
EMP100070,Kartika Rachman Ramadhan,855424,3,4,6,2,4,3,1,1,5,47
EMP100071,Rafa Situmorang,871247,2,3,4,3,4,3,1,2,4,72
